CycPeptMPDB_ID,Structurally_Unique_ID,Sequence,Monomer_Length,Molecule_Shape,Permeability,MolWt,ExactMolWt,Permeable
1494,1494,AMeOEt_GlymeLNledPMono45,6,Circle,-6.51,750942.0,750.4428462,1
1495,1495,Apentyl_GlymeLNledPMono45,6,Circle,-5.08,762997.0,762.4792317,0
1496,1496,ABn_GlymeLNledPMono45,6,Circle,-5.26,782987.0,782.4479316,0
1497,1497,AcHexCH2_GlymeLNledPMono45,6,Circle,-4.98,789035.0,788.4948818,0
1498,1498,AMono38meLNledPMono45,6,Circle,-6.67,791007.0,790.4741463,1
1499,1499,LMeOEt_GlymeLNledPMono45,6,Circle,-5.23,793023.0,792.4897964,0
1500,1500,A3-pyridylethyl_GlymeLNledPMono45,6,Circle,-6.77,798002.0,797.4588306,1
1501,1501,Lpentyl_GlymeLNledPMono45,6,Circle,-5.59,805078.0,804.5261819,0
1502,1502,APhPr_GlymeLNledPMono45,6,Circle,-5.08,811041.0,810.4792317,0
1503,1503,AMono39meLNledPMono45,6,Circle,-5.38,813013.0,812.4584963,0
1504,1504,AMono40meLNledPMono45,6,Circle,-6.66,815033.0,814.4853797,1
1505,1505,AMono41meLNledPMono45,6,Circle,-7.45,818033.0,817.4850454,1
1506,1506,LBn_GlymeLNledPMono45,6,Circle,-5.66,825068.0,824.4948818,0
1507,1507,FMeOEt_GlymeLNledPMono45,6,Circle,-5.26,827.04,826.4741463,0
1508,1508,LcHexCH2_GlymeLNledPMono45,6,Circle,-6.31,831116.0,830.541832,1
1509,1509,LMono38meLNledPMono45,6,Circle,-5.38,833088.0,832.5210965,0
1510,1510,Fpentyl_GlymeLNledPMono45,6,Circle,-6.9,839095.0,838.5105318,1
1511,1511,L3-pyridylethyl_GlymeLNledPMono45,6,Circle,-5.59,840083.0,839.5057808,0
1512,1512,LPhPr_GlymeLNledPMono45,6,Circle,-6.24,853122.0,852.5261819,1
1513,1513,LMono39meLNledPMono45,6,Circle,-6.23,855094.0,854.5054465,1
1514,1514,LMono40meLNledPMono45,6,Circle,-5.74,857114.0,856.5323299,0
1515,1515,FBn_GlymeLNledPMono45,6,Circle,-6.46,859085.0,858.4792317,1
1516,1516,LMono41meLNledPMono45,6,Circle,-6.3,860114.0,859.5319955,1
1517,1517,FcHexCH2_GlymeLNledPMono45,6,Circle,-6.95,865133.0,864.5261819,1
1518,1518,FMono38meLNledPMono45,6,Circle,-5.4,867105.0,866.5054465,0
1519,1519,F3-pyridylethyl_GlymeLNledPMono45,6,Circle,-5.69,874.1,873.4901307,0
1520,1520,NalMeOEt_GlymeLNledPMono45,6,Circle,-6.17,877.1,876.4897964,1
1521,1521,FPhPr_GlymeLNledPMono45,6,Circle,-10.0,887139.0,886.5105318,1
1522,1522,FMono39meLNledPMono45,6,Circle,-6.79,889111.0,888.4897964,1
1523,1523,Nalpentyl_GlymeLNledPMono45,6,Circle,-7.8,889155.0,888.5261819,1
1524,1524,FMono40meLNledPMono45,6,Circle,-5.68,891131.0,890.5166798,0
1525,1525,FMono41meLNledPMono45,6,Circle,-6.01,894131.0,893.5163455,1
1526,1526,NalBn_GlymeLNledPMono45,6,Circle,-7.34,909145.0,908.4948818,1
1527,1527,NalcHexCH2_GlymeLNledPMono45,6,Circle,-7.83,915193.0,914.541832,1
1528,1528,NalMono38meLNledPMono45,6,Circle,-6.29,917165.0,916.5210965,1
1529,1529,Nal3-pyridylethyl_GlymeLNledPMono45,6,Circle,-6.41,924.16,923.5057808,1
1530,1530,NalPhPr_GlymeLNledPMono45,6,Circle,-7.8,937199.0,936.5261819,1
1531,1531,NalMono39meLNledPMono45,6,Circle,-7.68,939171.0,938.5054465,1
1532,1532,NalMono40meLNledPMono45,6,Circle,-6.58,941191.0,940.5323299,1
1533,1533,NalMono41meLNledPMono45,6,Circle,-6.06,944191.0,943.5319955,1
1534,1534,Apentyl_GlymeLNlePEt_Gly,6,Circle,-5.54,620836.0,620.4261335,0
1535,1535,AcHexCH2_GlymeLNlePEt_Gly,6,Circle,-5.15,646874.0,646.4417836,0
1536,1536,AMono38meLNlePEt_Gly,6,Circle,-7.17,648846.0,648.4210481,1
1537,1537,Apentyl_GlymeLNlePMono34,6,Circle,-4.99,692943.0,692.4836484,0
1538,1538,Fpentyl_GlymeLNlePEt_Gly,6,Circle,-4.89,696934.0,696.4574336,0
1539,1539,AcHexCH2_GlymeLNlePMono34,6,Circle,-4.83,718981.0,718.4992985,0
1540,1540,AMono38meLNlePMono34,6,Circle,-6.61,720953.0,720.478563,1
1541,1541,FcHexCH2_GlymeLNlePEt_Gly,6,Circle,-5.07,722972.0,722.4730837,0
1542,1542,FMono38meLNlePEt_Gly,6,Circle,-5.47,724944.0,724.4523483,0
1543,1543,Apentyl_GlymeLNlePMono1,6,Circle,-4.89,726916.0,726.4316128,0
1544,1544,AcHexCH2_GlymeLNlePMono1,6,Circle,-4.93,752954.0,752.4472629,0
1545,1545,AMono38meLNlePMono1,6,Circle,-5.93,754926.0,754.4265274,0
1546,1546,Fpentyl_GlymeLNlePMono34,6,Circle,-5.08,769041.0,768.5149485,0
1547,1547,FcHexCH2_GlymeLNlePMono34,6,Circle,-5.39,795079.0,794.5305986,0
1548,1548,FMono38meLNlePMono34,6,Circle,-5.07,797051.0,796.5098631,0
1549,1549,Fpentyl_GlymeLNlePMono1,6,Circle,-6.06,803014.0,802.4629129,1
1550,1550,FcHexCH2_GlymeLNlePMono1,6,Circle,-6.65,829052.0,828.478563,1
1551,1551,FMono38meLNlePMono1,6,Circle,-5.03,831024.0,830.4578276,0
1552,1552,Apentyl_GlyLNlePEt_Gly,6,Circle,-6.76,606809.0,606.4104834,1
1553,1553,AcHexCH2_GlyLNlePEt_Gly,6,Circle,-6.39,632847.0,632.4261335,1
1554,1554,AMono38LNlePEt_Gly,6,Circle,-8.0,634819.0,634.4053981,1
1555,1555,Apentyl_GlyLNlePMono34,6,Circle,-6.11,678916.0,678.4679983,1
1556,1556,Fpentyl_GlyLNlePEt_Gly,6,Circle,-5.23,682907.0,682.4417836,0
1557,1557,AcHexCH2_GlyLNlePMono34,6,Circle,-5.7,704954.0,704.4836484,0
1558,1558,AMono38LNlePMono34,6,Circle,-7.57,706926.0,706.4629129,1
1559,1559,FcHexCH2_GlyLNlePEt_Gly,6,Circle,-5.0,708945.0,708.4574336,0
1560,1560,FMono38LNlePEt_Gly,6,Circle,-6.37,710917.0,710.4366982,1
1561,1561,Apentyl_GlyLNlePMono1,6,Circle,-5.5,712889.0,712.4159628,0
1562,1562,AcHexCH2_GlyLNlePMono1,6,Circle,-5.19,738927.0,738.4316128,0
1563,1563,AMono38LNlePMono1,6,Circle,-6.54,740899.0,740.4108774,1
1564,1564,Fpentyl_GlyLNlePMono34,6,Circle,-4.92,755014.0,754.4992985,0
1565,1565,FcHexCH2_GlyLNlePMono34,6,Circle,-4.87,781052.0,780.5149485,0
1566,1566,FMono38LNlePMono34,6,Circle,-6.04,783024.0,782.4942131,1
1567,1567,Fpentyl_GlyLNlePMono1,6,Circle,-5.09,788987.0,788.4472629,0
1568,1568,FcHexCH2_GlyLNlePMono1,6,Circle,-5.41,815025.0,814.4629129,0
1569,1569,FMono38LNlePMono1,6,Circle,-5.34,816997.0,816.4421775,0
1570,1135,Apentyl_GlymeLNledPEt_Gly,6,Circle,-5.4,620836.0,620.4261335,0
1571,1137,AcHexCH2_GlymeLNledPEt_Gly,6,Circle,-5.05,646874.0,646.4417836,0
1572,1138,AMono38meLNledPEt_Gly,6,Circle,-6.76,648846.0,648.4210481,1
1573,1255,Apentyl_GlymeLNledPMono34,6,Circle,-4.97,692943.0,692.4836484,0
1574,1150,Fpentyl_GlymeLNledPEt_Gly,6,Circle,-5.04,696934.0,696.4574336,0
1575,1257,AcHexCH2_GlymeLNledPMono34,6,Circle,-4.88,718981.0,718.4992985,0
1576,1258,AMono38meLNledPMono34,6,Circle,-6.19,720953.0,720.478563,1
1577,1157,FcHexCH2_GlymeLNledPEt_Gly,6,Circle,-5.37,722972.0,722.4730837,0
1578,1158,FMono38meLNledPEt_Gly,6,Circle,-5.18,724944.0,724.4523483,0
1579,1415,Apentyl_GlymeLNledPMono1,6,Circle,-4.91,726916.0,726.4316128,0
1580,1417,AcHexCH2_GlymeLNledPMono1,6,Circle,-5.12,752954.0,752.4472629,0
1581,1418,AMono38meLNledPMono1,6,Circle,-5.54,754926.0,754.4265274,0
1582,1270,Fpentyl_GlymeLNledPMono34,6,Circle,-5.48,769041.0,768.5149485,0
1583,1277,FcHexCH2_GlymeLNledPMono34,6,Circle,-5.86,795079.0,794.5305986,0
1584,1278,FMono38meLNledPMono34,6,Circle,-5.0,797051.0,796.5098631,0
1585,1430,Fpentyl_GlymeLNledPMono1,6,Circle,-6.67,803014.0,802.4629129,1
1586,1437,FcHexCH2_GlymeLNledPMono1,6,Circle,-7.31,829052.0,828.478563,1
1587,1438,FMono38meLNledPMono1,6,Circle,-5.19,831024.0,830.4578276,0
1588,1588,Apentyl_GlyLNledPEt_Gly,6,Circle,-6.52,606809.0,606.4104834,1
1589,1589,AcHexCH2_GlyLNledPEt_Gly,6,Circle,-6.11,632847.0,632.4261335,1
1590,1590,AMono38LNledPEt_Gly,6,Circle,-7.62,634819.0,634.4053981,1
1591,1591,Apentyl_GlyLNledPMono34,6,Circle,-5.84,678916.0,678.4679983,0
1592,1592,Fpentyl_GlyLNledPEt_Gly,6,Circle,-5.13,682907.0,682.4417836,0
1593,1593,AcHexCH2_GlyLNledPMono34,6,Circle,-5.49,704954.0,704.4836484,0
1594,1594,AMono38LNledPMono34,6,Circle,-7.0,706926.0,706.4629129,1
1595,1595,FcHexCH2_GlyLNledPEt_Gly,6,Circle,-4.96,708945.0,708.4574336,0
1596,1596,FMono38LNledPEt_Gly,6,Circle,-5.95,710917.0,710.4366982,0
1597,1597,Apentyl_GlyLNledPMono1,6,Circle,-5.32,712889.0,712.4159628,0
1598,1598,AcHexCH2_GlyLNledPMono1,6,Circle,-5.1,738927.0,738.4316128,0
1599,1599,AMono38LNledPMono1,6,Circle,-6.34,740899.0,740.4108774,1
1600,1600,Fpentyl_GlyLNledPMono34,6,Circle,-4.95,755014.0,754.4992985,0
1601,1601,FcHexCH2_GlyLNledPMono34,6,Circle,-5.03,781052.0,780.5149485,0
1602,1602,FMono38LNledPMono34,6,Circle,-5.44,783024.0,782.4942131,0
1603,1603,Fpentyl_GlyLNledPMono1,6,Circle,-5.24,788987.0,788.4472629,0
1604,1604,FcHexCH2_GlyLNledPMono1,6,Circle,-5.71,815025.0,814.4629129,0
1605,1605,FMono38LNledPMono1,6,Circle,-5.1,816997.0,816.4421775,0
1606,1606,dApentyl_GlymeLNlePEt_Gly,6,Circle,-5.76,620836.0,620.4261335,0
1607,1607,dAcHexCH2_GlymeLNlePEt_Gly,6,Circle,-5.32,646874.0,646.4417836,0
1608,1608,dAMono38meLNlePEt_Gly,6,Circle,-7.56,648846.0,648.4210481,1
1609,1609,dApentyl_GlymeLNlePMono34,6,Circle,-5.23,692943.0,692.4836484,0
1610,1610,dFpentyl_GlymeLNlePEt_Gly,6,Circle,-5.22,696934.0,696.4574336,0
1611,1611,dAcHexCH2_GlymeLNlePMono34,6,Circle,-4.97,718981.0,718.4992985,0
1612,1612,dAMono38meLNlePMono34,6,Circle,-7.04,720953.0,720.478563,1
1613,1613,dFcHexCH2_GlymeLNlePEt_Gly,6,Circle,-5.1,722972.0,722.4730837,0
1614,1614,dFMono38meLNlePEt_Gly,6,Circle,-6.73,724944.0,724.4523483,1
1615,1615,dApentyl_GlymeLNlePMono1,6,Circle,-5.14,726916.0,726.4316128,0
1616,1616,dAcHexCH2_GlymeLNlePMono1,6,Circle,-5.09,752954.0,752.4472629,0
1617,1617,dAMono38meLNlePMono1,6,Circle,-6.54,754926.0,754.4265274,1
1618,1618,dFpentyl_GlymeLNlePMono34,6,Circle,-5.09,769041.0,768.5149485,0
1619,1619,dFcHexCH2_GlymeLNlePMono34,6,Circle,-5.1,795079.0,794.5305986,0
1620,1620,dFMono38meLNlePMono34,6,Circle,-6.27,797051.0,796.5098631,1
1621,1621,dFpentyl_GlymeLNlePMono1,6,Circle,-5.5,803014.0,802.4629129,0
1622,1622,dFcHexCH2_GlymeLNlePMono1,6,Circle,-5.95,829052.0,828.478563,0
1623,1623,dFMono38meLNlePMono1,6,Circle,-6.17,831024.0,830.4578276,1
1624,1624,dApentyl_GlyLNlePEt_Gly,6,Circle,-6.48,606809.0,606.4104834,1
1625,1625,dAcHexCH2_GlyLNlePEt_Gly,6,Circle,-6.48,632847.0,632.4261335,1
1626,1626,dAMono38LNlePEt_Gly,6,Circle,-8.88,634819.0,634.4053981,1
1627,1627,dApentyl_GlyLNlePMono34,6,Circle,-6.45,678916.0,678.4679983,1
1628,1628,dFpentyl_GlyLNlePEt_Gly,6,Circle,-5.53,682907.0,682.4417836,0
1629,1629,dAcHexCH2_GlyLNlePMono34,6,Circle,-5.96,704954.0,704.4836484,0
1630,1630,dAMono38LNlePMono34,6,Circle,-7.92,706926.0,706.4629129,1
1631,1631,dFcHexCH2_GlyLNlePEt_Gly,6,Circle,-5.28,708945.0,708.4574336,0
1632,1632,dFMono38LNlePEt_Gly,6,Circle,-7.24,710917.0,710.4366982,1
1633,1633,dApentyl_GlyLNlePMono1,6,Circle,-5.68,712889.0,712.4159628,0
1634,1634,dAcHexCH2_GlyLNlePMono1,6,Circle,-5.39,738927.0,738.4316128,0
1635,1635,dAMono38LNlePMono1,6,Circle,-7.03,740899.0,740.4108774,1
1636,1636,dFpentyl_GlyLNlePMono34,6,Circle,-5.29,755014.0,754.4992985,0
1637,1637,dFcHexCH2_GlyLNlePMono34,6,Circle,-5.14,781052.0,780.5149485,0
1638,1638,dFMono38LNlePMono34,6,Circle,-6.85,783024.0,782.4942131,1
1639,1639,dFpentyl_GlyLNlePMono1,6,Circle,-5.39,788987.0,788.4472629,0
1640,1640,dFcHexCH2_GlyLNlePMono1,6,Circle,-5.64,815025.0,814.4629129,0
1641,1641,dFMono38LNlePMono1,6,Circle,-6.17,816997.0,816.4421775,1
1642,1642,dApentyl_GlymeLNledPEt_Gly,6,Circle,-6.43,620836.0,620.4261335,1
1643,1643,dAcHexCH2_GlymeLNledPEt_Gly,6,Circle,-5.98,646874.0,646.4417836,0
1644,1644,dAMono38meLNledPEt_Gly,6,Circle,-7.92,648846.0,648.4210481,1
1645,1645,dApentyl_GlymeLNledPMono34,6,Circle,-5.79,692943.0,692.4836484,0
1646,1646,dFpentyl_GlymeLNledPEt_Gly,6,Circle,-5.34,696934.0,696.4574336,0
1647,1647,dAcHexCH2_GlymeLNledPMono34,6,Circle,-5.47,718981.0,718.4992985,0
1648,1648,dAMono38meLNledPMono34,6,Circle,-7.33,720953.0,720.478563,1
1649,1649,dFcHexCH2_GlymeLNledPEt_Gly,6,Circle,-5.16,722972.0,722.4730837,0
1650,1650,dFMono38meLNledPEt_Gly,6,Circle,-6.92,724944.0,724.4523483,1
1651,1651,dApentyl_GlymeLNledPMono1,6,Circle,-5.45,726916.0,726.4316128,0
1652,1652,dAcHexCH2_GlymeLNledPMono1,6,Circle,-5.31,752954.0,752.4472629,0
1653,1653,dAMono38meLNledPMono1,6,Circle,-6.66,754926.0,754.4265274,1
1654,1654,dFpentyl_GlymeLNledPMono34,6,Circle,-5.16,769041.0,768.5149485,0
1655,1655,dFcHexCH2_GlymeLNledPMono34,6,Circle,-5.15,795079.0,794.5305986,0
1656,1656,dFMono38meLNledPMono34,6,Circle,-6.52,797051.0,796.5098631,1
1657,1657,dFpentyl_GlymeLNledPMono1,6,Circle,-5.45,803014.0,802.4629129,0
1658,1658,dFcHexCH2_GlymeLNledPMono1,6,Circle,-5.8,829052.0,828.478563,0
1659,1659,dFMono38meLNledPMono1,6,Circle,-6.27,831024.0,830.4578276,1
1660,1660,dApentyl_GlyLNledPEt_Gly,6,Circle,-6.84,606809.0,606.4104834,1
1661,1661,dAcHexCH2_GlyLNledPEt_Gly,6,Circle,-6.65,632847.0,632.4261335,1
1662,1662,dAMono38LNledPEt_Gly,6,Circle,-8.8,634819.0,634.4053981,1
1663,1663,dApentyl_GlyLNledPMono34,6,Circle,-5.97,678916.0,678.4679983,0
1664,1664,dFpentyl_GlyLNledPEt_Gly,6,Circle,-5.41,682907.0,682.4417836,0
1665,1665,dAcHexCH2_GlyLNledPMono34,6,Circle,-5.86,704954.0,704.4836484,0
1666,1666,dAMono38LNledPMono34,6,Circle,-7.84,706926.0,706.4629129,1
1667,1667,dFcHexCH2_GlyLNledPEt_Gly,6,Circle,-5.3,708945.0,708.4574336,0
1668,1668,dFMono38LNledPEt_Gly,6,Circle,-6.99,710917.0,710.4366982,1
1669,1669,dApentyl_GlyLNledPMono1,6,Circle,-5.67,712889.0,712.4159628,0
1670,1670,dAcHexCH2_GlyLNledPMono1,6,Circle,-5.56,738927.0,738.4316128,0
1671,1671,dAMono38LNledPMono1,6,Circle,-7.23,740899.0,740.4108774,1
1672,1672,dFpentyl_GlyLNledPMono34,6,Circle,-5.19,755014.0,754.4992985,0
1673,1673,dFcHexCH2_GlyLNledPMono34,6,Circle,-5.22,781052.0,780.5149485,0
1674,1674,dFMono38LNledPMono34,6,Circle,-6.33,783024.0,782.4942131,1
1675,1675,dFpentyl_GlyLNledPMono1,6,Circle,-5.43,788987.0,788.4472629,0
1676,1676,dFcHexCH2_GlyLNledPMono1,6,Circle,-5.62,815025.0,814.4629129,0
1677,1677,dFMono38LNledPMono1,6,Circle,-5.9,816997.0,816.4421775,0
1678,1678,Apentyl_GlyMe_dLNlePEt_Gly,6,Circle,-5.3,620836.0,620.4261335,0
1679,1679,AcHexCH2_GlyMe_dLNlePEt_Gly,6,Circle,-5.01,646874.0,646.4417836,0
1680,1680,AMono38Me_dLNlePEt_Gly,6,Circle,-6.93,648846.0,648.4210481,1
1681,1681,Apentyl_GlyMe_dLNlePMono34,6,Circle,-4.91,692943.0,692.4836484,0
1682,1682,Fpentyl_GlyMe_dLNlePEt_Gly,6,Circle,-4.85,696934.0,696.4574336,0
1683,1683,AcHexCH2_GlyMe_dLNlePMono34,6,Circle,-4.83,718981.0,718.4992985,0
1684,1684,AMono38Me_dLNlePMono34,6,Circle,-6.27,720953.0,720.478563,1
1685,1685,FcHexCH2_GlyMe_dLNlePEt_Gly,6,Circle,-5.01,722972.0,722.4730837,0
1686,1686,FMono38Me_dLNlePEt_Gly,6,Circle,-5.46,724944.0,724.4523483,0
1687,1687,Apentyl_GlyMe_dLNlePMono1,6,Circle,-4.84,726916.0,726.4316128,0
1688,1688,AcHexCH2_GlyMe_dLNlePMono1,6,Circle,-4.99,752954.0,752.4472629,0
1689,1689,AMono38Me_dLNlePMono1,6,Circle,-5.54,754926.0,754.4265274,0
1690,1690,Fpentyl_GlyMe_dLNlePMono34,6,Circle,-5.08,769041.0,768.5149485,0
1691,1691,FcHexCH2_GlyMe_dLNlePMono34,6,Circle,-5.35,795079.0,794.5305986,0
1692,1692,FMono38Me_dLNlePMono34,6,Circle,-5.08,797051.0,796.5098631,0
1693,1693,Fpentyl_GlyMe_dLNlePMono1,6,Circle,-5.81,803014.0,802.4629129,0
1694,1694,FcHexCH2_GlyMe_dLNlePMono1,6,Circle,-6.37,829052.0,828.478563,1
1695,1695,FMono38Me_dLNlePMono1,6,Circle,-5.0,831024.0,830.4578276,0
1696,1696,Apentyl_GlydLNlePEt_Gly,6,Circle,-6.25,606809.0,606.4104834,1
1697,1697,AcHexCH2_GlydLNlePEt_Gly,6,Circle,-5.9,632847.0,632.4261335,0
1698,1698,AMono38dLNlePEt_Gly,6,Circle,-7.48,634819.0,634.4053981,1
1699,1699,Apentyl_GlydLNlePMono34,6,Circle,-5.58,678916.0,678.4679983,0
1700,1700,Fpentyl_GlydLNlePEt_Gly,6,Circle,-5.05,682907.0,682.4417836,0
1701,1701,AcHexCH2_GlydLNlePMono34,6,Circle,-5.29,704954.0,704.4836484,0
1702,1702,AMono38dLNlePMono34,6,Circle,-6.81,706926.0,706.4629129,1
1703,1703,FcHexCH2_GlydLNlePEt_Gly,6,Circle,-4.96,708945.0,708.4574336,0
1704,1704,FMono38dLNlePEt_Gly,6,Circle,-6.04,710917.0,710.4366982,1
1705,1705,Apentyl_GlydLNlePMono1,6,Circle,-5.07,712889.0,712.4159628,0
1706,1706,AcHexCH2_GlydLNlePMono1,6,Circle,-5.01,738927.0,738.4316128,0
1707,1707,AMono38dLNlePMono1,6,Circle,-5.89,740899.0,740.4108774,0
1708,1708,Fpentyl_GlydLNlePMono34,6,Circle,-4.94,755014.0,754.4992985,0
1709,1709,FcHexCH2_GlydLNlePMono34,6,Circle,-5.02,781052.0,780.5149485,0
1710,1710,FMono38dLNlePMono34,6,Circle,-5.56,783024.0,782.4942131,0
1711,1711,Fpentyl_GlydLNlePMono1,6,Circle,-5.26,788987.0,788.4472629,0
1712,1712,FcHexCH2_GlydLNlePMono1,6,Circle,-5.61,815025.0,814.4629129,0
1713,1713,FMono38dLNlePMono1,6,Circle,-5.15,816997.0,816.4421775,0
1714,1714,Apentyl_GlyMe_dLNledPEt_Gly,6,Circle,-5.13,620836.0,620.4261335,0
1715,1715,AcHexCH2_GlyMe_dLNledPEt_Gly,6,Circle,-4.91,646874.0,646.4417836,0
1716,1716,AMono38Me_dLNledPEt_Gly,6,Circle,-6.6,648846.0,648.4210481,1
1717,1717,Apentyl_GlyMe_dLNledPMono34,6,Circle,-4.85,692943.0,692.4836484,0
1718,1718,Fpentyl_GlyMe_dLNledPEt_Gly,6,Circle,-5.11,696934.0,696.4574336,0
1719,1719,AcHexCH2_GlyMe_dLNledPMono34,6,Circle,-4.86,718981.0,718.4992985,0
1720,1720,AMono38Me_dLNledPMono34,6,Circle,-5.95,720953.0,720.478563,0
1721,1721,FcHexCH2_GlyMe_dLNledPEt_Gly,6,Circle,-5.43,722972.0,722.4730837,0
1722,1722,FMono38Me_dLNledPEt_Gly,6,Circle,-5.17,724944.0,724.4523483,0
1723,1723,Apentyl_GlyMe_dLNledPMono1,6,Circle,-4.98,726916.0,726.4316128,0
1724,1724,AcHexCH2_GlyMe_dLNledPMono1,6,Circle,-5.17,752954.0,752.4472629,0
1725,1725,AMono38Me_dLNledPMono1,6,Circle,-5.47,754926.0,754.4265274,0
1726,1726,Fpentyl_GlyMe_dLNledPMono34,6,Circle,-5.58,769041.0,768.5149485,0
1727,1727,FcHexCH2_GlyMe_dLNledPMono34,6,Circle,-5.77,795079.0,794.5305986,0
1728,1728,FMono38Me_dLNledPMono34,6,Circle,-5.03,797051.0,796.5098631,0
1729,1729,Fpentyl_GlyMe_dLNledPMono1,6,Circle,-8.26,803014.0,802.4629129,1
1730,1730,FcHexCH2_GlyMe_dLNledPMono1,6,Circle,-7.17,829052.0,828.478563,1
1731,1731,FMono38Me_dLNledPMono1,6,Circle,-5.48,831024.0,830.4578276,0
1732,1732,Apentyl_GlydLNledPEt_Gly,6,Circle,-5.99,606809.0,606.4104834,0
1733,1733,AcHexCH2_GlydLNledPEt_Gly,6,Circle,-5.58,632847.0,632.4261335,0
1734,1734,AMono38dLNledPEt_Gly,6,Circle,-7.39,634819.0,634.4053981,1
1735,1735,Apentyl_GlydLNledPMono34,6,Circle,-5.26,678916.0,678.4679983,0
1736,1736,Fpentyl_GlydLNledPEt_Gly,6,Circle,-4.81,682907.0,682.4417836,0
1737,1737,AcHexCH2_GlydLNledPMono34,6,Circle,-5.02,704954.0,704.4836484,0
1738,1738,AMono38dLNledPMono34,6,Circle,-6.75,706926.0,706.4629129,1
1739,1739,FcHexCH2_GlydLNledPEt_Gly,6,Circle,-4.76,708945.0,708.4574336,0
1740,1740,FMono38dLNledPEt_Gly,6,Circle,-5.89,710917.0,710.4366982,0
1741,1741,Apentyl_GlydLNledPMono1,6,Circle,-4.99,712889.0,712.4159628,0
1742,1742,AcHexCH2_GlydLNledPMono1,6,Circle,-4.9,738927.0,738.4316128,0
1743,1743,AMono38dLNledPMono1,6,Circle,-6.05,740899.0,740.4108774,1
1744,1744,Fpentyl_GlydLNledPMono34,6,Circle,-4.81,755014.0,754.4992985,0
1745,1745,FcHexCH2_GlydLNledPMono34,6,Circle,-4.97,781052.0,780.5149485,0
1746,1746,FMono38dLNledPMono34,6,Circle,-5.34,783024.0,782.4942131,0
1747,1747,Fpentyl_GlydLNledPMono1,6,Circle,-5.23,788987.0,788.4472629,0
1748,1748,FcHexCH2_GlydLNledPMono1,6,Circle,-5.89,815025.0,814.4629129,0
1749,1749,FMono38dLNledPMono1,6,Circle,-5.06,816997.0,816.4421775,0
1750,1750,dApentyl_GlyMe_dLNlePEt_Gly,6,Circle,-6.26,620836.0,620.4261335,1
1751,1751,dAcHexCH2_GlyMe_dLNlePEt_Gly,6,Circle,-5.75,646874.0,646.4417836,0
1752,1752,dAMono38Me_dLNlePEt_Gly,6,Circle,-7.68,648846.0,648.4210481,1
1753,1753,dApentyl_GlyMe_dLNlePMono34,6,Circle,-5.72,692943.0,692.4836484,0
1754,1754,dFpentyl_GlyMe_dLNlePEt_Gly,6,Circle,-4.96,696934.0,696.4574336,0
1755,1755,dAcHexCH2_GlyMe_dLNlePMono34,6,Circle,-5.3,718981.0,718.4992985,0
1756,1756,dAMono38Me_dLNlePMono34,6,Circle,-7.42,720953.0,720.478563,1
1757,1757,dFcHexCH2_GlyMe_dLNlePEt_Gly,6,Circle,-4.9,722972.0,722.4730837,0
1758,1758,dFMono38Me_dLNlePEt_Gly,6,Circle,-6.22,724944.0,724.4523483,1
1759,1759,dApentyl_GlyMe_dLNlePMono1,6,Circle,-5.33,726916.0,726.4316128,0
1760,1760,dAcHexCH2_GlyMe_dLNlePMono1,6,Circle,-5.1,752954.0,752.4472629,0
1761,1761,dAMono38Me_dLNlePMono1,6,Circle,-6.64,754926.0,754.4265274,1
1762,1762,dFpentyl_GlyMe_dLNlePMono34,6,Circle,-4.86,769041.0,768.5149485,0
1763,1763,dFcHexCH2_GlyMe_dLNlePMono34,6,Circle,-5.01,795079.0,794.5305986,0
1764,1764,dFMono38Me_dLNlePMono34,6,Circle,-5.81,797051.0,796.5098631,0
1765,1765,dFpentyl_GlyMe_dLNlePMono1,6,Circle,-5.43,803014.0,802.4629129,0
1766,1766,dFcHexCH2_GlyMe_dLNlePMono1,6,Circle,-5.94,829052.0,828.478563,0
1767,1767,dFMono38Me_dLNlePMono1,6,Circle,-5.43,831024.0,830.4578276,0
1768,1768,dApentyl_GlydLNlePEt_Gly,6,Circle,-6.71,606809.0,606.4104834,1
1769,1769,dAcHexCH2_GlydLNlePEt_Gly,6,Circle,-6.34,632847.0,632.4261335,1
1770,1770,dAMono38dLNlePEt_Gly,6,Circle,-8.0,634819.0,634.4053981,1
1771,1771,dApentyl_GlydLNlePMono34,6,Circle,-6.18,678916.0,678.4679983,1
1772,1772,dFpentyl_GlydLNlePEt_Gly,6,Circle,-5.23,682907.0,682.4417836,0
1773,1773,dAcHexCH2_GlydLNlePMono34,6,Circle,-5.81,704954.0,704.4836484,0
1774,1774,dAMono38dLNlePMono34,6,Circle,-7.5,706926.0,706.4629129,1
1775,1775,dFcHexCH2_GlydLNlePEt_Gly,6,Circle,-5.04,708945.0,708.4574336,0
1776,1776,dFMono38dLNlePEt_Gly,6,Circle,-6.95,710917.0,710.4366982,1
1777,1777,dApentyl_GlydLNlePMono1,6,Circle,-5.68,712889.0,712.4159628,0
1778,1778,dAcHexCH2_GlydLNlePMono1,6,Circle,-5.42,738927.0,738.4316128,0
1779,1779,dAMono38dLNlePMono1,6,Circle,-6.64,740899.0,740.4108774,1
1780,1780,dFpentyl_GlydLNlePMono34,6,Circle,-4.93,755014.0,754.4992985,0
